cause_event_type,effect_event_type,count
Preventing_or_letting,Assistance,2
Collaboration,Reporting,2
Change_sentiment,Killing,2
Cause_to_make_progress,Escaping,2
Hostile_encounter,Building,2
GetReady,Conquering,2
Expressing_publicly,Choosing,2
Process_start,Committing_crime,2
Change,Manufacturing,2
Conquering,Labeling,2
Expansion,Departing,2
Bodily_harm,Escaping,2
Control,Assistance,2
Process_end,Coming_to_be,2
Create_artwork,Hold,2
Conquering,Change_sentiment,2
Testing,Cause_change_of_position_on_a_scale,2
Testing,Protest,2
Action,Protest,2
Testing,Motion_directional,2
Testing,Come_together,2
Testing,Agree_or_refuse_to_act,2
Testing,Presence,2
Testing,Destroying,2
Testing,Traveling,2
Action,Come_together,2
Cause_change_of_position_on_a_scale,Removing,2
Giving,Check,2
Request,Traveling,2
Request,Research,2
Expressing_publicly,Becoming_a_member,2
Body_movement,Process_end,2
Competition,Commerce_buy,2
Coming_to_be,Terrorism,2
Body_movement,Rite,2
Wearing,Arriving,2
Change_sentiment,Judgment_communication,2
Destroying,Military_operation,2
Becoming,Military_operation,2
Confronting_problem,Influence,2
Supply,Cause_change_of_position_on_a_scale,2
Know,Legality,2
Commerce_sell,Know,2
Use_firearm,Confronting_problem,2
Use_firearm,Process_start,2
Scouring,Influence,2
Convincing,Statement,2
Self_motion,Expansion,2
Statement,Receiving,2
Commerce_buy,Placing,2
Earnings_and_losses,Arranging,2
Control,Sending,2
Escaping,Statement,2
Expend_resource,Statement,2
Legality,Judgment_communication,2
Request,Social_event,2
Request,Openness,2
Convincing,Request,2
Convincing,Defending,2
Giving,Commerce_pay,2
Motion_directional,Scrutiny,2
Create_artwork,Earnings_and_losses,2
Scrutiny,Recovering,2
Motion_directional,Communication,2
Communication,Recording,2
Telling,Statement,2
Suspicion,Arrest,2
Agree_or_refuse_to_act,Recording,2
Dispersal,Hostile_encounter,2
Agree_or_refuse_to_act,Dispersal,2
Connect,Death,2
Escaping,Connect,2
Connect,Conquering,2
Know,Change_event_time,2
Process_start,Telling,2
Supporting,Arrest,2
Expansion,Assistance,2
Cause_to_make_progress,Action,2
Openness,Statement,2
Submitting_documents,Agree_or_refuse_to_act,2
Giving,Agree_or_refuse_to_act,2
Supporting,Action,2
Control,Change,2
Process_start,Criminal_investigation,2
Getting,Expressing_publicly,2
Getting,Hindering,2
Reporting,Statement,2
Giving,Bringing,2
Deciding,Dispersal,2
Creating,Escaping,2
Coming_to_be,Cause_to_be_included,2
Quarreling,Removing,2
Arrest,Removing,2
Arrest,Protest,2
Arrest,Connect,2
Arrest,Justifying,2
Arrest,Commitment,2
Arrest,Quarreling,2
Earnings_and_losses,Check,2
Communication,Coming_to_believe,2
Wearing,Attack,2
Manufacturing,Expressing_publicly,2
Social_event,Having_or_lacking_access,2
Labeling,Agree_or_refuse_to_act,2
Arranging,Legality,2
Conquering,Deciding,2
Statement,Protest,2
Cause_to_amalgamate,Rewards_and_punishments,2
Cause_to_amalgamate,Deciding,2
Preventing_or_letting,Exchange,2
Violence,Arriving,2
Response,Being_in_operation,2
Response,Sending,2
Becoming_a_member,Motion_directional,2
Action,Commerce_pay,2
Change,Legal_rulings,2
Hindering,Removing,2
Body_movement,Scouring,2
Perception_active,Releasing,2
Body_movement,Process_start,2
Research,Communication,2
Come_together,Traveling,2
Hindering,Hindering,2
Sign_agreement,Resolve_problem,2
Hold,Change_of_leadership,2
Cause_change_of_strength,Military_operation,2
Cause_change_of_position_on_a_scale,Temporary_stay,2
Social_event,Limiting,2
Bringing,Assistance,2
Damaging,Judgment_communication,2
Getting,Deciding,2
Telling,Self_motion,2
Violence,Arranging,2
Violence,Creating,2
Violence,Assistance,2
Violence,Deciding,2
Violence,Cure,2
Violence,Testing,2
Violence,Action,2
Deciding,Creating,2
Body_movement,Catastrophe,2
Earnings_and_losses,Openness,2
Earnings_and_losses,Perception_active,2
Body_movement,Becoming,2
Motion_directional,Hold,2
Recovering,Preventing_or_letting,2
Recovering,Getting,2
GiveUp,Giving,2
Bodily_harm,Social_event,2
Committing_crime,Bringing,2
Recording,Statement,2
Committing_crime,Use_firearm,2
Recovering,Building,2
Placing,Self_motion,2
Arriving,Convincing,2
Creating,Openness,2
Creating,Recording,2
Convincing,Change_of_leadership,2
Choosing,Temporary_stay,2
Request,Response,2
Departing,Communication,2
Testing,Becoming,2
Testing,Self_motion,2
Preventing_or_letting,Agree_or_refuse_to_act,2
Warning,Emptying,2
Conquering,Scrutiny,2
Death,Releasing,2
Death,Legality,2
Releasing,Placing,2
Judgment_communication,Prison,2
Placing,Dispersal,2
Award,Expressing_publicly,2
Becoming,Competition,2
Placing,Choosing,2
Releasing,Sign_agreement,2
Destroying,Legal_rulings,2
Motion,Award,2
Attack,Carry_goods,2
Bodily_harm,Carry_goods,2
Influence,Sending,2
Change_of_leadership,Recording,2
Control,Judgment_communication,2
Convincing,Choosing,2
Temporary_stay,Getting,2
Cause_change_of_position_on_a_scale,Supporting,2
Hold,Having_or_lacking_access,2
Commitment,Attack,2
Escaping,Expansion,2
Death,Defending,2
Death,Influence,2
Bodily_harm,Influence,2
Control,Damaging,2
Agree_or_refuse_to_act,Influence,2
Surrendering,Placing,2
Surrendering,Preventing_or_letting,2
Coming_to_believe,Arranging,2
Violence,Cause_change_of_position_on_a_scale,2
Scrutiny,Destroying,2
Hostile_encounter,Committing_crime,2
Action,Scrutiny,2
Scouring,Damaging,2
Recovering,Name_conferral,2
Statement,Sending,2
Self_motion,Create_artwork,2
Preventing_or_letting,Defending,2
Presence,Arranging,2
Use_firearm,Getting,2
Arranging,Name_conferral,2
Arranging,Criminal_investigation,2
Arranging,Hiding_objects,2
Self_motion,Social_event,2
Judgment_communication,Deciding,2
Connect,Convincing,2
Patrolling,Preventing_or_letting,2
Check,Expressing_publicly,2
Agree_or_refuse_to_act,Communication,2
Motion,Cure,2
Agree_or_refuse_to_act,Resolve_problem,2
Agree_or_refuse_to_act,Supporting,2
Death,Name_conferral,2
Arranging,GetReady,2
Agree_or_refuse_to_act,Becoming_a_member,2
Hold,Use_firearm,2
Hold,Releasing,2
Hold,Hindering,2
Cause_change_of_position_on_a_scale,Scrutiny,2
Scrutiny,Publishing,2
Change_of_leadership,Labeling,2
Change_of_leadership,Quarreling,2
Motion,Social_event,2
Change_of_leadership,Check,2
Sending,Patrolling,2
Arriving,Confronting_problem,2
Use_firearm,Assistance,2
Use_firearm,Rewards_and_punishments,2
Temporary_stay,Use_firearm,2
Presence,Response,2
Response,Arranging,2
Hiding_objects,Destroying,2
Creating,Response,2
Cause_change_of_strength,Confronting_problem,2
Communication,Escaping,2
Escaping,Hiding_objects,2
Legality,Coming_to_believe,2
Legality,Action,2
Bodily_harm,Know,2
Supporting,Bringing,2
Supporting,Choosing,2
Building,Choosing,2
Hold,Change_sentiment,2
Process_end,Response,2
Change_event_time,Response,2
Employment,Communication,2
Revenge,Preventing_or_letting,2
Cause_change_of_position_on_a_scale,Building,2
Killing,Labeling,2
Emptying,Removing,2
Military_operation,Bringing,2
Assistance,Bodily_harm,2
Death,Change,2
Openness,Cause_change_of_position_on_a_scale,2
Change_of_leadership,Sign_agreement,2
Change_of_leadership,Robbery,2
Destroying,Sign_agreement,2
Change_of_leadership,Deciding,2
Commitment,Earnings_and_losses,2
Body_movement,Criminal_investigation,2
Judgment_communication,Motion_directional,2
Killing,Suspicion,2
Recovering,Escaping,2
Bodily_harm,Openness,2
Criminal_investigation,Creating,2
Being_in_operation,Deciding,2
Being_in_operation,Damaging,2
Statement,Dispersal,2
Deciding,Coming_to_be,2
Cause_to_amalgamate,Earnings_and_losses,2
Supporting,Death,2
Supporting,Killing,2
Change_event_time,Statement,2
Manufacturing,Bodily_harm,2
Creating,Check,2
Manufacturing,Self_motion,2
Hold,Control,2
Filling,Arriving,2
Traveling,Hostile_encounter,2
Surrendering,Robbery,2
Surrendering,Supply,2
Death,Motion_directional,2
Commerce_buy,Arriving,2
Becoming,Surrendering,2
Choosing,Conquering,2
Committing_crime,Control,2
Being_in_operation,Coming_to_be,2
Request,Releasing,2
Committing_crime,Removing,2
Attack,Reforming_a_system,2
Surrendering,Filling,2
Surrendering,Reforming_a_system,2
Surrendering,GiveUp,2
Process_end,Filling,2
Expressing_publicly,Filling,2
Hostile_encounter,Filling,2
Recovering,Attack,2
Receiving,Judgment_communication,2
Know,Bodily_harm,2
Statement,Process_end,2
Perception_active,Cause_change_of_position_on_a_scale,2
Openness,Coming_to_believe,2
Expressing_publicly,Control,2
Giving,Change_of_leadership,2
Limiting,Earnings_and_losses,2
Arranging,Patrolling,2
Sending,Sending,2
Receiving,Sending,2
Placing,Criminal_investigation,2
Quarreling,Request,2
Destroying,Being_in_operation,2
Hindering,Arriving,2
Commerce_sell,Change_event_time,2
Self_motion,Receiving,2
Action,Supply,2
Connect,Preserving,2
Death,Escaping,2
Convincing,Attack,2
Defending,Motion_directional,2
Revenge,Destroying,2
Arriving,Military_operation,2
Giving,Building,2
Come_together,Catastrophe,2
Come_together,Hindering,2
Come_together,Choosing,2
Deciding,Military_operation,2
Cause_change_of_position_on_a_scale,Check,2
Reforming_a_system,Motion_directional,2
Check,Recording,2
Check,Getting,2
Commerce_sell,Receiving,2
Cause_to_be_included,Name_conferral,2
Cause_to_be_included,Earnings_and_losses,2
Openness,Use_firearm,2
Request,Bringing,2
Surrendering,Getting,2
Departing,Temporary_stay,2
Know,Convincing,2
Creating,Criminal_investigation,2
Education_teaching,Deciding,2
Departing,Giving,2
Scrutiny,Escaping,2
Scrutiny,Motion,2
Conquering,GetReady,2
Process_end,Giving,2
GetReady,Removing,2
Giving,Response,2
Response,Defending,2
Process_end,Removing,2
Kidnapping,Recovering,2
Temporary_stay,Damaging,2
Expend_resource,Process_end,2
Competition,Confronting_problem,2
Conquering,Body_movement,2
Deciding,GiveUp,2
Arranging,Giving,2
Request,Control,2
Hostile_encounter,Openness,2
Escaping,Openness,2
Connect,Request,2
Change,Dispersal,2
Presence,Come_together,2
Presence,Manufacturing,2
Preventing_or_letting,Expressing_publicly,2
Departing,Influence,2
Motion,Expansion,2
Arranging,Cause_to_amalgamate,2
Process_end,Emptying,2
Arriving,Cause_to_amalgamate,2
Process_end,Cause_to_amalgamate,2
Come_together,Bringing,2
Social_event,Escaping,2
Action,Defending,2
Expansion,Defending,2
Judgment_communication,Communication,2
Process_end,Killing,2
Legal_rulings,Action,2
Receiving,Preventing_or_letting,2
Coming_to_believe,Creating,2
Bringing,Killing,2
Arrest,Reveal_secret,2
Arranging,Quarreling,2
Publishing,Achieve,2
Defending,Arrest,2
Check,Scrutiny,2
Use_firearm,Cause_change_of_position_on_a_scale,2
Departing,Criminal_investigation,2
Self_motion,Communication,2
Scrutiny,Request,2
Cause_to_amalgamate,Supporting,2
Cause_to_amalgamate,Coming_to_be,2
Cause_to_amalgamate,Hindering,2
Cause_to_amalgamate,Death,2
Know,Criminal_investigation,2
Committing_crime,Hiding_objects,2
Kidnapping,Protest,2
Coming_to_believe,Quarreling,2
Traveling,Preventing_or_letting,2
Name_conferral,Name_conferral,2
Rewards_and_punishments,Process_end,2
Rewards_and_punishments,Sign_agreement,2
Judgment_communication,Sign_agreement,2
Assistance,Commerce_sell,2
Commerce_buy,Commerce_sell,2
Create_artwork,Expressing_publicly,2
Judgment_communication,Revenge,2
Control,Surrendering,2
Achieve,Arriving,2
Achieve,Becoming,2
Achieve,Cause_to_make_progress,2
Besieging,Cause_to_amalgamate,2
Surrendering,Cause_to_amalgamate,2
Assistance,Surrendering,2
Social_event,Releasing,2
Social_event,Request,2
Preventing_or_letting,Arrest,2
Response,Judgment_communication,2
Change_of_leadership,Expansion,2
Expend_resource,Convincing,2
Expend_resource,Criminal_investigation,2
Confronting_problem,Response,2
Resolve_problem,Earnings_and_losses,2
Expressing_publicly,Response,2
Process_end,Action,2
Arranging,Kidnapping,2
Warning,Killing,2
Motion,Forming_relationships,2
Supply,Military_operation,2
Conquering,Motion_directional,2
Military_operation,Expressing_publicly,2
Getting,Achieve,2
Influence,Escaping,2
Motion,Traveling,2
Arranging,Cause_to_be_included,2
Criminal_investigation,Scrutiny,2
Change,Damaging,2
Process_end,Temporary_stay,2
Damaging,Change_event_time,2
Bringing,Perception_active,2
Bodily_harm,Traveling,2
Dispersal,Violence,2
Dispersal,Process_end,2
Come_together,Control,2
Conquering,Competition,2
Hold,Supply,2
Conquering,Social_event,2
Becoming,Change_of_leadership,2
Military_operation,Social_event,2
Departing,Earnings_and_losses,2
Cause_change_of_strength,Hostile_encounter,2
Check,Change_event_time,2
Presence,Recording,2
Convincing,Giving,2
Supply,Hold,2
Supply,Process_start,2
Judgment_communication,Employment,2
Sending,Hostile_encounter,2
Process_end,Control,2
Motion_directional,Name_conferral,2
Supporting,Cause_to_make_progress,2
Killing,Bringing,2
Becoming_a_member,Arrest,2
Check,Reporting,2
Conquering,Commerce_buy,2
Dispersal,Social_event,2
Convincing,Preventing_or_letting,2
Dispersal,Come_together,2
Motion,Warning,2
Warning,Cause_change_of_position_on_a_scale,2
Testing,Achieve,2
Achieve,Attack,2
Use_firearm,Telling,2
Sending,Change_event_time,2
Testing,Check,2
Departing,Traveling,2
Deciding,Know,2
Use_firearm,Research,2
Dispersal,Giving,2
Hold,Recording,2
Publishing,Cause_to_make_progress,2
Know,Motion_directional,2
Influence,Change_of_leadership,2
Temporary_stay,Placing,2
Surrendering,Self_motion,2
Cause_change_of_strength,Presence,2
Death,Killing,2
Agree_or_refuse_to_act,Writing,2
Expressing_publicly,Cause_to_make_progress,2
Arrest,Escaping,2
Giving,Damaging,2
Placing,Influence,2
Placing,Becoming_a_member,2
Influence,Becoming_a_member,2
Presence,Receiving,2
Criminal_investigation,Legality,2
Agree_or_refuse_to_act,Conquering,2
Removing,Action,2
Destroying,Action,2
Action,Death,2
Defending,Know,2
Exchange,Cause_change_of_position_on_a_scale,2
Death,Agree_or_refuse_to_act,2
Robbery,Legal_rulings,2
Robbery,Recovering,2
Robbery,Escaping,2
Building,Cause_change_of_position_on_a_scale,2
Departing,Action,2
Becoming_a_member,Supply,2
Arriving,GiveUp,2
Hindering,Arrest,2
Process_start,Warning,2
Influence,Rescuing,2
Protest,Motion_directional,2
Change_of_leadership,Temporary_stay,2
Action,Temporary_stay,2
Action,Change_of_leadership,2
Communication,Bringing,2
Achieve,Statement,2
Achieve,Know,2
Arrest,Conquering,2
Escaping,Arranging,2
Getting,Building,2
Quarreling,Recovering,2
Quarreling,Response,2
Hostile_encounter,Competition,2
Violence,Hostile_encounter,2
Death,Robbery,2
Death,Damaging,2
Building,Presence,2
Self_motion,Building,2
Name_conferral,Becoming,2
Receiving,Criminal_investigation,2
Arrest,Traveling,2
Statement,Traveling,2
Receiving,Know,2
Earnings_and_losses,Traveling,2
Know,Influence,2
Receiving,Confronting_problem,2
Criminal_investigation,Use_firearm,2
Cause_to_make_progress,Judgment_communication,2
Confronting_problem,Use_firearm,2
Telling,Legal_rulings,2
Placing,Come_together,2
Commerce_sell,Destroying,2
Building,Perception_active,2
Defending,Building,2
Defending,GetReady,2
Destroying,Quarreling,2
Escaping,Quarreling,2
Statement,Hostile_encounter,2
Request,Cause_change_of_strength,2
Placing,Process_end,2
Removing,Check,2
Traveling,Achieve,2
Bearing_arms,Death,2
Supply,Change,2
Earnings_and_losses,Creating,2
Body_movement,Recording,2
Change,Process_start,2
Sign_agreement,Social_event,2
Motion_directional,Use_firearm,2
Research,Statement,2
Recovering,Giving,2
Arriving,Publishing,2
Self_motion,Rescuing,2
Attack,Cure,2
Coming_to_be,Releasing,2
Scrutiny,Reveal_secret,2
Scrutiny,Rewards_and_punishments,2
Scrutiny,Arrest,2
Action,Coming_to_be,2
Commerce_sell,Achieve,2
Destroying,Writing,2
Damaging,Reforming_a_system,2
Change_event_time,Commerce_pay,2
Getting,Recovering,2
Getting,Confronting_problem,2
Getting,Commerce_pay,2
Escaping,Removing,2
Getting,Agree_or_refuse_to_act,2
Assistance,Agree_or_refuse_to_act,2
Assistance,Change_event_time,2
Change_event_time,Removing,2
Process_end,Commerce_pay,2
Getting,Request,2
Getting,Change_event_time,2
Removing,Hostile_encounter,2
Confronting_problem,Hostile_encounter,2
Becoming,Commerce_pay,2
Sending,Getting,2
Request,Damaging,2
Escaping,Manufacturing,2
Building,Giving,2
Education_teaching,Education_teaching,2
Motion_directional,Convincing,2
Arranging,GiveUp,2
Perception_active,Statement,2
Getting,Convincing,2
Education_teaching,Giving,2
Know,Death,2
Know,Damaging,2
Removing,Assistance,2
Conquering,Influence,2
Commitment,Influence,2
Placing,Damaging,2
Building,Arranging,2
Building,Being_in_operation,2
Building,Self_motion,2
Arranging,Being_in_operation,2
Hostile_encounter,Resolve_problem,2
Temporary_stay,Destroying,2
Bodily_harm,Resolve_problem,2
Patrolling,Hostile_encounter,2
Patrolling,Motion_directional,2
Bringing,Self_motion,2
Patrolling,Attack,2
Presence,Temporary_stay,2
Giving,Motion_directional,2
Giving,Achieve,2
Escaping,Judgment_communication,2
Filling,Destroying,2
Expansion,Arriving,2
Social_event,Traveling,2
Escaping,Besieging,2
Preventing_or_letting,Surrendering,2
Preventing_or_letting,Besieging,2
Removing,Escaping,2
Request,Besieging,2
Bodily_harm,Coming_to_believe,2
Bodily_harm,Reforming_a_system,2
Bodily_harm,Research,2
Building,Come_together,2
Cause_change_of_position_on_a_scale,Getting,2
Removing,Influence,2
Giving,Social_event,2
Removing,Control,2
Supply,Creating,2
Employment,Bodily_harm,2
Employment,Creating,2
Employment,Arrest,2
Cause_change_of_position_on_a_scale,Communication,2
Self_motion,Coming_to_believe,2
Supply,Control,2
Employment,Control,2
Collaboration,Death,2
Supporting,Placing,2
Supporting,Expansion,2
Giving,Choosing,2
Hold,Rewards_and_punishments,2
Statement,Legal_rulings,2
Deciding,Cause_change_of_position_on_a_scale,2
Supporting,Motion_directional,2
Supporting,Surrendering,2
Motion_directional,Achieve,2
Expressing_publicly,Bodily_harm,2
Change,Bodily_harm,2
Recovering,Reforming_a_system,2
Choosing,Change_of_leadership,2
Killing,Reforming_a_system,2
Process_start,Coming_to_believe,2
Arriving,Writing,2
Damaging,Change,2
Process_end,Communication,2
Coming_to_be,Supply,2
Recovering,Bodily_harm,2
Cause_to_make_progress,Earnings_and_losses,2
Arranging,Coming_to_believe,2
Come_together,Bodily_harm,2
Convincing,Bringing,2
Agree_or_refuse_to_act,Earnings_and_losses,2
Warning,Earnings_and_losses,2
Warning,Preventing_or_letting,2
Besieging,Departing,2
Cause_to_make_progress,Destroying,2
Warning,Departing,2
Cause_to_make_progress,Removing,2
Warning,Commitment,2
Surrendering,Death,2
Statement,Defending,2
Military_operation,Preventing_or_letting,2
Motion,Manufacturing,2
Building,Name_conferral,2
Competition,Coming_to_be,2
Presence,Choosing,2
Expressing_publicly,Supply,2
Motion_directional,Deciding,2
Creating,Becoming_a_member,2
Arriving,Connect,2
Coming_to_believe,Motion,2
Change_sentiment,Process_end,2
Bodily_harm,Surrendering,2
Motion,Resolve_problem,2
Choosing,Cause_to_amalgamate,2
Damaging,Placing,2
Influence,Defending,2
Process_start,Expend_resource,2
Expressing_publicly,Change_event_time,2
Cause_change_of_strength,Hold,2
Surrendering,Hold,2
Forming_relationships,Conquering,2
Earnings_and_losses,Deciding,2
Connect,Placing,2
Connect,Removing,2
Hold,Commitment,2
Becoming,Know,2
Becoming,Removing,2
Becoming,Supply,2
Becoming,Presence,2
Defending,Preventing_or_letting,2
Name_conferral,Agree_or_refuse_to_act,2
Expressing_publicly,Know,2
Recovering,Releasing,2
Arriving,Releasing,2
Bodily_harm,Arriving,2
Perception_active,Death,2
Perception_active,Placing,2
Military_operation,Influence,2
Control,Confronting_problem,2
Presence,GiveUp,2
Arriving,Sending,2
Sending,Creating,2
Filling,Creating,2
Collaboration,Destroying,2
Achieve,Becoming_a_member,2
Process_start,Being_in_operation,2
Reporting,Know,2
Change_event_time,Expressing_publicly,2
Traveling,Action,2
Traveling,Request,2
Killing,Expend_resource,2
Know,Openness,2
Killing,Commerce_pay,2
Sending,Expressing_publicly,2
Killing,Sending,2
Giving,Releasing,2
Departing,Judgment_communication,2
Change_event_time,Motion_directional,2
Cause_change_of_strength,Know,2
Change_event_time,Cause_change_of_strength,2
Motion_directional,Motion_directional,2
Name_conferral,Removing,2
Come_together,Giving,2
Come_together,Supporting,2
Cause_to_amalgamate,Arriving,2
Cause_to_amalgamate,Sending,2
Dispersal,Presence,2
Sending,Supporting,2
Dispersal,Sending,2
Dispersal,Supporting,2
Dispersal,Self_motion,2
Dispersal,Cause_to_amalgamate,2
Self_motion,Reveal_secret,2
Coming_to_be,Filling,2
Cause_change_of_strength,Filling,2
Cause_change_of_strength,Manufacturing,2
Communication,Control,2
Use_firearm,Motion,2
Process_start,Commerce_pay,2
Becoming,Achieve,2
Expansion,Preserving,2
Cause_to_make_progress,Attack,2
Supporting,Change,2
Damaging,Response,2
Motion_directional,Expressing_publicly,2
Surrendering,Request,2
Creating,GetReady,2
Perception_active,Preventing_or_letting,2
Process_end,Violence,2
Forming_relationships,Hindering,2
Forming_relationships,Destroying,2
Forming_relationships,Damaging,2
Manufacturing,Arriving,2
Manufacturing,Catastrophe,2
Destroying,Manufacturing,2
Cause_to_amalgamate,Action,2
Expansion,Recording,2
Expansion,Manufacturing,2
Patrolling,Damaging,2
Education_teaching,Bodily_harm,2
Expansion,Dispersal,2
Being_in_operation,Becoming,2
Dispersal,Filling,2
Openness,Creating,2
Process_start,Surrounding,2
Change,Supporting,2
Renting,Earnings_and_losses,2
Conquering,Writing,2
Hold,Military_operation,2
Hold,Criminal_investigation,2
Hold,Manufacturing,2
Recording,Cause_change_of_position_on_a_scale,2
Creating,Confronting_problem,2
Expressing_publicly,Expansion,2
Sign_agreement,Expansion,2
Confronting_problem,Conquering,2
Destroying,Response,2
Rewards_and_punishments,Death,2
Bringing,Know,2
Motion,Response,2
Action,Change,2
Action,Quarreling,2
Military_operation,Presence,2
Change_of_leadership,Telling,2
Cause_to_amalgamate,Social_event,2
Choosing,Manufacturing,2
Supporting,Dispersal,2
Cause_to_make_progress,Expressing_publicly,2
Killing,Departing,2
Arriving,Presence,2
Supporting,Collaboration,2
Research,Self_motion,2
Commitment,Killing,2
Sign_agreement,Expressing_publicly,2
Surrendering,Sign_agreement,2
Creating,Preserving,2
Commerce_sell,Placing,2
Publishing,Recording,2
Motion_directional,Process_end,2
Military_operation,Recording,2
Becoming,Change_event_time,2
Attack,Bearing_arms,2
Change_of_leadership,Hiding_objects,2
Arrest,Bringing,2
Arranging,Dispersal,2
Preventing_or_letting,Request,2
Process_start,Openness,2
Legal_rulings,Quarreling,2
Becoming_a_member,Request,2
Earnings_and_losses,Sending,2
Coming_to_be,Building,2
Coming_to_be,Surrendering,2
Surrendering,Building,2
Besieging,Building,2
Getting,Action,2
Recovering,Expansion,2
Temporary_stay,Giving,2
Process_start,Writing,2
Convincing,GiveUp,2
Surrounding,Process_start,2
Assistance,Defending,2
Surrounding,Removing,2
Defending,Expressing_publicly,2
Statement,Placing,2
Agree_or_refuse_to_act,Quarreling,2
Statement,Change_sentiment,2
Expend_resource,Earnings_and_losses,2
Presence,Hindering,2
Preserving,Escaping,2
Reforming_a_system,Conquering,2
Giving,Giving,2
Request,Patrolling,2
Besieging,Request,2
Besieging,Achieve,2
Besieging,Patrolling,2
Conquering,Cause_to_make_progress,2
Competition,Cause_to_amalgamate,2
Departing,Telling,2
Communication,Convincing,2
GiveUp,Creating,2
Deciding,Becoming,2
Creating,Bringing,2
Statement,GiveUp,2
Cause_to_amalgamate,Reforming_a_system,2
Removing,Request,2
Statement,Emptying,2
Statement,Deciding,2
Destroying,Violence,2
Reporting,Bodily_harm,2
Reporting,Violence,2
Becoming,Statement,2
Come_together,Request,2
Becoming,Building,2
Becoming,Placing,2
Hindering,Statement,2
Arranging,Openness,2
Deciding,Departing,2
Terrorism,Creating,2
Placing,Resolve_problem,2
Besieging,Hindering,2
Damaging,Recovering,2
Emptying,Process_end,2
Agree_or_refuse_to_act,Connect,2
Building,Motion_directional,2
Cause_to_make_progress,Perception_active,2
Cause_to_make_progress,Reveal_secret,2
Control,Supply,2
Getting,Rescuing,2
Surrendering,Destroying,2
Control,Violence,2
Placing,Motion_directional,2
Placing,Catastrophe,2
Know,Recovering,2
Process_start,Bearing_arms,2
Creating,Traveling,2
Creating,Violence,2
Action,Receiving,2
Supply,Escaping,2
Arranging,Employment,2
Arranging,Recording,2
Building,Arrest,2
Motion_directional,Control,2
Legal_rulings,Receiving,2
Hold,Damaging,2
Committing_crime,Emptying,2
Committing_crime,Being_in_operation,2
Bringing,Removing,2
Quarreling,Attack,2
Quarreling,Check,2
Check,Commerce_sell,2
Arriving,Surrounding,2
Confronting_problem,Coming_to_believe,2
Education_teaching,Becoming,2
Being_in_operation,Bodily_harm,2
Collaboration,Supporting,2
Bodily_harm,Hold,2
Death,Action,2
Come_together,Creating,2
Getting,Receiving,2
Resolve_problem,Conquering,2
Reporting,Quarreling,2
Becoming,Social_event,2
Besieging,Rescuing,2
Cause_to_amalgamate,Catastrophe,2
Quarreling,Process_end,2
Quarreling,Competition,2
Self_motion,Convincing,2
Confronting_problem,Becoming,2
Confronting_problem,Killing,2
Connect,Response,2
Defending,Manufacturing,2
Deciding,Body_movement,2
Expressing_publicly,Name_conferral,2
Hold,Body_movement,2
Becoming_a_member,Motion,2
Terrorism,Communication,2
Terrorism,Telling,2
Earnings_and_losses,Achieve,2
Giving,Cause_to_amalgamate,2
Supply,Agree_or_refuse_to_act,2
Military_operation,Process_start,2
Damaging,Motion_directional,2
Convincing,Action,2
Damaging,Arranging,2
Expend_resource,Bodily_harm,2
Expend_resource,Killing,2
GiveUp,Becoming_a_member,2
Preserving,Destroying,2
Know,Warning,2
Warning,Removing,2
Damaging,Receiving,2
Creating,Receiving,2
Getting,Social_event,2
Receiving,Action,2
Traveling,Defending,2
Communication,Coming_to_be,2
Protest,Motion,2
Protest,Destroying,2
Presence,Use_firearm,2
Protest,Come_together,2
Death,Change_event_time,2
Death,Arranging,2
Cause_change_of_position_on_a_scale,Besieging,2
Terrorism,Destroying,2
Terrorism,Damaging,2
Control,Competition,2
Becoming_a_member,Becoming_a_member,2
Body_movement,Getting,2
Becoming,Process_start,2
Bodily_harm,Reporting,2
Placing,Change_of_leadership,2
Know,Reporting,2
Achieve,Name_conferral,2
Presence,Commitment,2
Openness,Attack,2
Sign_agreement,Telling,2
Motion_directional,Becoming_a_member,2
Arranging,Violence,2
Quarreling,Sign_agreement,2
Becoming_a_member,Escaping,2
Emptying,Committing_crime,2
Scrutiny,Hostile_encounter,2
Becoming_a_member,Traveling,2
Cause_to_make_progress,Manufacturing,2
Cause_to_make_progress,Assistance,2
Warning,Escaping,2
Sending,Building,2
Expressing_publicly,Publishing,2
Telling,Motion,2
Arriving,Recording,2
Escaping,Change_event_time,2
Supply,Killing,2
Scrutiny,Earnings_and_losses,2
Action,Deciding,2
Hold,Commerce_sell,2
Openness,Damaging,2
Openness,Expansion,2
Damaging,Process_start,2
Supply,Placing,2
Arranging,Placing,2
Collaboration,Damaging,2
Quarreling,Defending,2
GiveUp,Change,2
Preventing_or_letting,Damaging,2
Preventing_or_letting,Catastrophe,2
Arriving,Agree_or_refuse_to_act,2
Catastrophe,Defending,2
Hold,Supporting,2
Becoming_a_member,Deciding,2
Body_movement,Change,2
Giving,Perception_active,2
Sign_agreement,Confronting_problem,2
Motion,Besieging,2
Change,Violence,2
Violence,Becoming,2
Violence,Confronting_problem,2
Violence,Perception_active,2
Quarreling,Social_event,2
Preventing_or_letting,Building,2
Coming_to_believe,Preventing_or_letting,2
Bodily_harm,Supply,2
Bodily_harm,Come_together,2
Control,Communication,2
Control,Statement,2
Manufacturing,Statement,2
