cause_event_type,effect_event_type,count,pct_all_causal_relations,pct_of_cause_type
Surrendering,Sign_agreement,2,0.0037,2.2727
Creating,Preserving,2,0.0037,0.3431
Commerce_sell,Placing,2,0.0037,2.9412
Publishing,Recording,2,0.0037,1.7544
Motion_directional,Process_end,2,0.0037,0.5634
Military_operation,Recording,2,0.0037,0.2235
Becoming,Change_event_time,2,0.0037,0.8811
Attack,Bearing_arms,2,0.0037,0.0488
Change_of_leadership,Hiding_objects,2,0.0037,0.3540
Arrest,Bringing,2,0.0037,0.9390
Arranging,Dispersal,2,0.0037,0.2621
Preventing_or_letting,Request,2,0.0037,0.7782
Process_start,Openness,2,0.0037,0.1533
Legal_rulings,Quarreling,2,0.0037,2.5974
Becoming_a_member,Request,2,0.0037,2.4691
Earnings_and_losses,Sending,2,0.0037,0.6116
Coming_to_be,Building,2,0.0037,0.0560
Coming_to_be,Surrendering,2,0.0037,0.0560
Surrendering,Building,2,0.0037,2.2727
Besieging,Building,2,0.0037,0.7576
Getting,Action,2,0.0037,0.5917
Recovering,Expansion,2,0.0037,1.9608
Temporary_stay,Giving,2,0.0037,4.1667
Process_start,Writing,2,0.0037,0.1533
Convincing,GiveUp,2,0.0037,2.1277
Surrounding,Process_start,2,0.0037,6.0606
Assistance,Defending,2,0.0037,1.3072
Surrounding,Removing,2,0.0037,6.0606
Defending,Expressing_publicly,2,0.0037,0.6192
Statement,Placing,2,0.0037,1.0582
Agree_or_refuse_to_act,Quarreling,2,0.0037,0.7663
Statement,Change_sentiment,2,0.0037,1.0582
Expend_resource,Earnings_and_losses,2,0.0037,3.6364
Presence,Hindering,2,0.0037,0.3527
Preserving,Escaping,2,0.0037,10.0000
Reforming_a_system,Conquering,2,0.0037,4.0816
Giving,Giving,2,0.0037,1.1905
Request,Patrolling,2,0.0037,0.4376
Besieging,Request,2,0.0037,0.7576
Besieging,Achieve,2,0.0037,0.7576
Besieging,Patrolling,2,0.0037,0.7576
Conquering,Cause_to_make_progress,2,0.0037,0.2608
Competition,Cause_to_amalgamate,2,0.0037,0.1343
Departing,Telling,2,0.0037,0.8230
Communication,Convincing,2,0.0037,1.2739
GiveUp,Creating,2,0.0037,3.2787
Deciding,Becoming,2,0.0037,1.0363
Creating,Bringing,2,0.0037,0.3431
Statement,GiveUp,2,0.0037,1.0582
Cause_to_amalgamate,Reforming_a_system,2,0.0037,1.5504
Removing,Request,2,0.0037,1.0471
Statement,Emptying,2,0.0037,1.0582
Statement,Deciding,2,0.0037,1.0582
Destroying,Violence,2,0.0037,0.4237
Reporting,Bodily_harm,2,0.0037,4.7619
Reporting,Violence,2,0.0037,4.7619
Becoming,Statement,2,0.0037,0.8811
Come_together,Request,2,0.0037,0.9217
Becoming,Building,2,0.0037,0.8811
Becoming,Placing,2,0.0037,0.8811
Hindering,Statement,2,0.0037,2.5000
Arranging,Openness,2,0.0037,0.2621
Deciding,Departing,2,0.0037,1.0363
Terrorism,Creating,2,0.0037,0.3509
Placing,Resolve_problem,2,0.0037,0.8032
Besieging,Hindering,2,0.0037,0.7576
Damaging,Recovering,2,0.0037,0.8032
Emptying,Process_end,2,0.0037,5.0000
Agree_or_refuse_to_act,Connect,2,0.0037,0.7663
Building,Motion_directional,2,0.0037,1.5504
Cause_to_make_progress,Perception_active,2,0.0037,0.9434
Cause_to_make_progress,Reveal_secret,2,0.0037,0.9434
Control,Supply,2,0.0037,0.5618
Getting,Rescuing,2,0.0037,0.5917
Surrendering,Destroying,2,0.0037,2.2727
Control,Violence,2,0.0037,0.5618
Placing,Motion_directional,2,0.0037,0.8032
Placing,Catastrophe,2,0.0037,0.8032
Know,Recovering,2,0.0037,0.6472
Process_start,Bearing_arms,2,0.0037,0.1533
Creating,Traveling,2,0.0037,0.3431
Creating,Violence,2,0.0037,0.3431
Action,Receiving,2,0.0037,0.5391
Supply,Escaping,2,0.0037,1.7857
Arranging,Employment,2,0.0037,0.2621
Arranging,Recording,2,0.0037,0.2621
Building,Arrest,2,0.0037,1.5504
Motion_directional,Control,2,0.0037,0.5634
Legal_rulings,Receiving,2,0.0037,2.5974
Hold,Damaging,2,0.0037,0.3263
Committing_crime,Emptying,2,0.0037,0.7273
Committing_crime,Being_in_operation,2,0.0037,0.7273
Bringing,Removing,2,0.0037,1.5038
Quarreling,Attack,2,0.0037,1.8182
Quarreling,Check,2,0.0037,1.8182
Check,Commerce_sell,2,0.0037,3.2787
Arriving,Surrounding,2,0.0037,0.2656
Confronting_problem,Coming_to_believe,2,0.0037,2.7397
Education_teaching,Becoming,2,0.0037,2.9851
Being_in_operation,Bodily_harm,2,0.0037,1.6000
Collaboration,Supporting,2,0.0037,8.3333
Bodily_harm,Hold,2,0.0037,0.6250
Death,Action,2,0.0037,0.4255
Come_together,Creating,2,0.0037,0.9217
Getting,Receiving,2,0.0037,0.5917
Resolve_problem,Conquering,2,0.0037,7.1429
Reporting,Quarreling,2,0.0037,4.7619
Becoming,Social_event,2,0.0037,0.8811
Besieging,Rescuing,2,0.0037,0.7576
Cause_to_amalgamate,Catastrophe,2,0.0037,1.5504
Quarreling,Process_end,2,0.0037,1.8182
Quarreling,Competition,2,0.0037,1.8182
Self_motion,Convincing,2,0.0037,0.2656
Confronting_problem,Becoming,2,0.0037,2.7397
Confronting_problem,Killing,2,0.0037,2.7397
Connect,Response,2,0.0037,2.4390
Defending,Manufacturing,2,0.0037,0.6192
Deciding,Body_movement,2,0.0037,1.0363
Expressing_publicly,Name_conferral,2,0.0037,0.8130
Hold,Body_movement,2,0.0037,0.3263
Becoming_a_member,Motion,2,0.0037,2.4691
Terrorism,Communication,2,0.0037,0.3509
Terrorism,Telling,2,0.0037,0.3509
Earnings_and_losses,Achieve,2,0.0037,0.6116
Giving,Cause_to_amalgamate,2,0.0037,1.1905
Supply,Agree_or_refuse_to_act,2,0.0037,1.7857
Military_operation,Process_start,2,0.0037,0.2235
Damaging,Motion_directional,2,0.0037,0.8032
Convincing,Action,2,0.0037,2.1277
Damaging,Arranging,2,0.0037,0.8032
Expend_resource,Bodily_harm,2,0.0037,3.6364
Expend_resource,Killing,2,0.0037,3.6364
GiveUp,Becoming_a_member,2,0.0037,3.2787
Preserving,Destroying,2,0.0037,10.0000
Know,Warning,2,0.0037,0.6472
Warning,Removing,2,0.0037,2.6316
Damaging,Receiving,2,0.0037,0.8032
Creating,Receiving,2,0.0037,0.3431
Getting,Social_event,2,0.0037,0.5917
Receiving,Action,2,0.0037,2.1277
Traveling,Defending,2,0.0037,0.1867
Communication,Coming_to_be,2,0.0037,1.2739
Protest,Motion,2,0.0037,1.6807
Protest,Destroying,2,0.0037,1.6807
Presence,Use_firearm,2,0.0037,0.3527
Protest,Come_together,2,0.0037,1.6807
Death,Change_event_time,2,0.0037,0.4255
Death,Arranging,2,0.0037,0.4255
Cause_change_of_position_on_a_scale,Besieging,2,0.0037,0.5141
Terrorism,Destroying,2,0.0037,0.3509
Terrorism,Damaging,2,0.0037,0.3509
Control,Competition,2,0.0037,0.5618
Becoming_a_member,Becoming_a_member,2,0.0037,2.4691
Body_movement,Getting,2,0.0037,2.2472
Becoming,Process_start,2,0.0037,0.8811
Bodily_harm,Reporting,2,0.0037,0.6250
Placing,Change_of_leadership,2,0.0037,0.8032
Know,Reporting,2,0.0037,0.6472
Achieve,Name_conferral,2,0.0037,4.4444
Presence,Commitment,2,0.0037,0.3527
Openness,Attack,2,0.0037,2.4691
Sign_agreement,Telling,2,0.0037,1.2270
Motion_directional,Becoming_a_member,2,0.0037,0.5634
Arranging,Violence,2,0.0037,0.2621
Quarreling,Sign_agreement,2,0.0037,1.8182
Becoming_a_member,Escaping,2,0.0037,2.4691
Emptying,Committing_crime,2,0.0037,5.0000
Scrutiny,Hostile_encounter,2,0.0037,2.2727
Becoming_a_member,Traveling,2,0.0037,2.4691
Cause_to_make_progress,Manufacturing,2,0.0037,0.9434
Cause_to_make_progress,Assistance,2,0.0037,0.9434
Warning,Escaping,2,0.0037,2.6316
Sending,Building,2,0.0037,0.7491
Expressing_publicly,Publishing,2,0.0037,0.8130
Telling,Motion,2,0.0037,4.2553
Arriving,Recording,2,0.0037,0.2656
Escaping,Change_event_time,2,0.0037,0.5797
Supply,Killing,2,0.0037,1.7857
Scrutiny,Earnings_and_losses,2,0.0037,2.2727
Action,Deciding,2,0.0037,0.5391
Hold,Commerce_sell,2,0.0037,0.3263
Openness,Damaging,2,0.0037,2.4691
Openness,Expansion,2,0.0037,2.4691
Damaging,Process_start,2,0.0037,0.8032
Supply,Placing,2,0.0037,1.7857
Arranging,Placing,2,0.0037,0.2621
Collaboration,Damaging,2,0.0037,8.3333
Quarreling,Defending,2,0.0037,1.8182
GiveUp,Change,2,0.0037,3.2787
Preventing_or_letting,Damaging,2,0.0037,0.7782
Preventing_or_letting,Catastrophe,2,0.0037,0.7782
Arriving,Agree_or_refuse_to_act,2,0.0037,0.2656
Catastrophe,Defending,2,0.0037,0.0180
Hold,Supporting,2,0.0037,0.3263
Becoming_a_member,Deciding,2,0.0037,2.4691
Body_movement,Change,2,0.0037,2.2472
Giving,Perception_active,2,0.0037,1.1905
Sign_agreement,Confronting_problem,2,0.0037,1.2270
Motion,Besieging,2,0.0037,0.1542
Change,Violence,2,0.0037,0.8511
Violence,Becoming,2,0.0037,0.4598
Violence,Confronting_problem,2,0.0037,0.4598
Violence,Perception_active,2,0.0037,0.4598
Quarreling,Social_event,2,0.0037,1.8182
Preventing_or_letting,Building,2,0.0037,0.7782
Coming_to_believe,Preventing_or_letting,2,0.0037,4.0816
Bodily_harm,Supply,2,0.0037,0.6250
Bodily_harm,Come_together,2,0.0037,0.6250
Control,Communication,2,0.0037,0.5618
Control,Statement,2,0.0037,0.5618
Manufacturing,Statement,2,0.0037,1.4815
Sign_agreement,Giving,2,0.0037,1.2270
Presence,Hold,2,0.0037,0.3527
Action,Recording,2,0.0037,0.5391
GiveUp,Control,2,0.0037,3.2787
Receiving,Arranging,2,0.0037,2.1277
GiveUp,Competition,2,0.0037,3.2787
Competition,GiveUp,2,0.0037,0.1343
Being_in_operation,Cause_change_of_position_on_a_scale,2,0.0037,1.6000
Committing_crime,Perception_active,2,0.0037,0.7273
Committing_crime,Cause_to_amalgamate,2,0.0037,0.7273
Influence,Giving,2,0.0037,0.9302
Defending,Hold,2,0.0037,0.6192
Cause_change_of_position_on_a_scale,Process_start,2,0.0037,0.5141
Award,Giving,2,0.0037,22.2222
Besieging,Self_motion,2,0.0037,0.7576
Besieging,Supply,2,0.0037,0.7576
Motion_directional,Statement,2,0.0037,0.5634
Placing,Competition,2,0.0037,0.8032
Creating,Deciding,2,0.0037,0.3431
Cause_to_make_progress,Competition,2,0.0037,0.9434
Change,Achieve,2,0.0037,0.8511
Getting,Award,2,0.0037,0.5917
Hold,Cause_to_be_included,2,0.0037,0.3263
Manufacturing,Choosing,2,0.0037,1.4815
Competition,Commitment,2,0.0037,0.1343
Dispersal,Competition,2,0.0037,2.1053
Ratification,Bringing,1,0.0019,5.0000
Preventing_or_letting,Name_conferral,1,0.0019,0.3891
Research,Convincing,1,0.0019,3.4483
Arrest,Patrolling,1,0.0019,0.4695
Legal_rulings,Criminal_investigation,1,0.0019,1.2987
Breathing,Rescuing,1,0.0019,33.3333
Breathing,Death,1,0.0019,33.3333
Breathing,Check,1,0.0019,33.3333
Communication,Committing_crime,1,0.0019,0.6369
Control,Risk,1,0.0019,0.2809
Risk,Hindering,1,0.0019,6.6667
Hindering,Self_motion,1,0.0019,1.2500
Hindering,Breathing,1,0.0019,1.2500
Earnings_and_losses,Breathing,1,0.0019,0.3058
Motion,Breathing,1,0.0019,0.0771
Arrest,Body_movement,1,0.0019,0.4695
Earnings_and_losses,Temporary_stay,1,0.0019,0.3058
Arrest,Breathing,1,0.0019,0.4695
Deciding,Extradition,1,0.0019,0.5181
Placing,Breathing,1,0.0019,0.4016
Agree_or_refuse_to_act,Body_movement,1,0.0019,0.3831
Commerce_sell,Arriving,1,0.0019,1.4706
Agree_or_refuse_to_act,Breathing,1,0.0019,0.3831
Supply,Commerce_pay,1,0.0019,0.8929
Reveal_secret,Presence,1,0.0019,3.2258
Motion_directional,Releasing,1,0.0019,0.2817
Commitment,Achieve,1,0.0019,2.1739
Killing,Risk,1,0.0019,0.1026
Name_conferral,Judgment_communication,1,0.0019,3.5714
Bringing,Catastrophe,1,0.0019,0.7519
Ratification,Damaging,1,0.0019,5.0000
Building,Scouring,1,0.0019,0.7752
Building,Statement,1,0.0019,0.7752
Building,Labeling,1,0.0019,0.7752
Building,Reporting,1,0.0019,0.7752
Arrest,Check,1,0.0019,0.4695
Criminal_investigation,Arrest,1,0.0019,0.8403
Sending,Prison,1,0.0019,0.3745
Reveal_secret,Killing,1,0.0019,3.2258
Reveal_secret,Giving,1,0.0019,3.2258
Protest,Becoming_a_member,1,0.0019,0.8403
Expressing_publicly,Perception_active,1,0.0019,0.4065
Social_event,Justifying,1,0.0019,0.0783
Theft,Hostile_encounter,1,0.0019,7.6923
Theft,Change,1,0.0019,7.6923
Supporting,Preventing_or_letting,1,0.0019,0.7246
Name_conferral,Publishing,1,0.0019,3.5714
Education_teaching,Cause_to_be_included,1,0.0019,1.4925
Arranging,Vocalizations,1,0.0019,0.1311
Come_together,Vocalizations,1,0.0019,0.4608
Competition,Departing,1,0.0019,0.0672
Competition,Agree_or_refuse_to_act,1,0.0019,0.0672
Competition,Legal_rulings,1,0.0019,0.0672
Competition,Hindering,1,0.0019,0.0672
Removing,Legal_rulings,1,0.0019,0.5236
Change_event_time,Know,1,0.0019,1.4085
Request,Ratification,1,0.0019,0.2188
Request,Submitting_documents,1,0.0019,0.2188
Submitting_documents,Ratification,1,0.0019,4.5455
Ratification,Request,1,0.0019,5.0000
Submitting_documents,Creating,1,0.0019,4.5455
Submitting_documents,Request,1,0.0019,4.5455
Earnings_and_losses,Institutionalization,1,0.0019,0.3058
Earnings_and_losses,Action,1,0.0019,0.3058
Recording,Self_motion,1,0.0019,2.2222
Commerce_pay,Recording,1,0.0019,3.5714
Quarreling,Process_start,1,0.0019,0.9091
Conquering,Extradition,1,0.0019,0.1304
Building,Removing,1,0.0019,0.7752
Extradition,Killing,1,0.0019,25.0000
Attack,Theft,1,0.0019,0.0244
Prison,Process_end,1,0.0019,16.6667
Incident,Bodily_harm,1,0.0019,5.5556
Cause_to_amalgamate,Control,1,0.0019,0.7752
Change_of_leadership,Incident,1,0.0019,0.1770
Agree_or_refuse_to_act,Action,1,0.0019,0.3831
Sign_agreement,Achieve,1,0.0019,0.6135
Preserving,Testing,1,0.0019,5.0000
Departing,Hindering,1,0.0019,0.4115
Justifying,Change,1,0.0019,14.2857
Damaging,Rescuing,1,0.0019,0.4016
Creating,Rescuing,1,0.0019,0.1715
Traveling,Come_together,1,0.0019,0.0934
Traveling,Agree_or_refuse_to_act,1,0.0019,0.0934
Agree_or_refuse_to_act,Surrendering,1,0.0019,0.3831
Building,Agree_or_refuse_to_act,1,0.0019,0.7752
Hold,Practice,1,0.0019,0.1631
Ratification,Becoming,1,0.0019,5.0000
Ratification,Giving,1,0.0019,5.0000
Placing,Cause_to_make_progress,1,0.0019,0.4016
Risk,Process_start,1,0.0019,6.6667
Know,Control,1,0.0019,0.3236
Warning,Sending,1,0.0019,1.3158
Risk,Sending,1,0.0019,6.6667
Warning,Risk,1,0.0019,1.3158
Process_start,Risk,1,0.0019,0.0766
Scouring,Escaping,1,0.0019,4.5455
Having_or_lacking_access,Escaping,1,0.0019,6.2500
Cause_change_of_strength,Reveal_secret,1,0.0019,0.2532
Receiving,Destroying,1,0.0019,1.0638
Influence,Receiving,1,0.0019,0.4651
Releasing,Expressing_publicly,1,0.0019,2.9412
Influence,Collaboration,1,0.0019,0.4651
Becoming,Expansion,1,0.0019,0.4405
Becoming,Bringing,1,0.0019,0.4405
Change,Deciding,1,0.0019,0.4255
Theft,Criminal_investigation,1,0.0019,7.6923
Destroying,Criminal_investigation,1,0.0019,0.2119
Commerce_pay,Criminal_investigation,1,0.0019,3.5714
Exchange,Removing,1,0.0019,5.0000
Exchange,Justifying,1,0.0019,5.0000
Commerce_pay,Justifying,1,0.0019,3.5714
Justifying,Removing,1,0.0019,14.2857
Commerce_pay,Know,1,0.0019,3.5714
Know,Reforming_a_system,1,0.0019,0.3236
Justifying,Criminal_investigation,1,0.0019,14.2857
Connect,Temporary_stay,1,0.0019,1.2195
Wearing,Request,1,0.0019,4.3478
Recovering,Expressing_publicly,1,0.0019,0.9804
Arranging,Research,1,0.0019,0.1311
Removing,Research,1,0.0019,0.5236
Bodily_harm,Dispersal,1,0.0019,0.3125
Sign_agreement,Commitment,1,0.0019,0.6135
Commitment,Exchange,1,0.0019,2.1739
Response,Institutionalization,1,0.0019,0.6329
Response,Ingestion,1,0.0019,0.6329
Preventing_or_letting,Cause_to_be_included,1,0.0019,0.3891
Ingestion,Institutionalization,1,0.0019,11.1111
Know,Being_in_operation,1,0.0019,0.3236
Hostile_encounter,Ratification,1,0.0019,0.0320
Choosing,Action,1,0.0019,0.3472
Robbery,Action,1,0.0019,5.0000
Commitment,Hostile_encounter,1,0.0019,2.1739
Hindering,Change,1,0.0019,1.2500
Getting,Change_of_leadership,1,0.0019,0.2959
Cause_change_of_strength,Giving,1,0.0019,0.2532
Institutionalization,Death,1,0.0019,50.0000
Control,Come_together,1,0.0019,0.2809
Wearing,GiveUp,1,0.0019,4.3478
Wearing,Agree_or_refuse_to_act,1,0.0019,4.3478
Creating,Wearing,1,0.0019,0.1715
Connect,Supporting,1,0.0019,1.2195
Change_sentiment,Attack,1,0.0019,2.6316
Change_sentiment,Damaging,1,0.0019,2.6316
Bringing,Releasing,1,0.0019,0.7519
Bringing,Getting,1,0.0019,0.7519
Influence,Releasing,1,0.0019,0.4651
Committing_crime,Change_event_time,1,0.0019,0.3636
Convincing,Cure,1,0.0019,1.0638
Expansion,Coming_to_believe,1,0.0019,1.2987
Change_sentiment,Becoming,1,0.0019,2.6316
Supporting,Becoming,1,0.0019,0.7246
Change_sentiment,Supporting,1,0.0019,2.6316
Hindering,Coming_to_be,1,0.0019,1.2500
Request,Wearing,1,0.0019,0.2188
Recovering,Action,1,0.0019,0.9804
Recovering,Change_event_time,1,0.0019,0.9804
Hostile_encounter,Suspicion,1,0.0019,0.0320
Supporting,Being_in_operation,1,0.0019,0.7246
Expressing_publicly,Supporting,1,0.0019,0.4065
Expressing_publicly,Giving,1,0.0019,0.4065
Coming_to_be,Wearing,1,0.0019,0.0280
Telling,Coming_to_believe,1,0.0019,2.1277
Change,Cause_to_be_included,1,0.0019,0.4255
Practice,Receiving,1,0.0019,12.5000
Practice,Earnings_and_losses,1,0.0019,12.5000
Assistance,Resolve_problem,1,0.0019,0.6536
Risk,Bodily_harm,1,0.0019,6.6667
Sign_agreement,Self_motion,1,0.0019,0.6135
Collaboration,Self_motion,1,0.0019,4.1667
Sign_agreement,Bodily_harm,1,0.0019,0.6135
Forming_relationships,Legality,1,0.0019,2.1277
Receiving,Change_of_leadership,1,0.0019,1.0638
Risk,Sign_agreement,1,0.0019,6.6667
Earnings_and_losses,Surrendering,1,0.0019,0.3058
Resolve_problem,Recovering,1,0.0019,3.5714
Motion_directional,Coming_to_be,1,0.0019,0.2817
Cause_change_of_position_on_a_scale,Filling,1,0.0019,0.2571
Publishing,Vocalizations,1,0.0019,0.8772
Deciding,Resolve_problem,1,0.0019,0.5181
Coming_to_be,Vocalizations,1,0.0019,0.0280
Filling,Cause_change_of_position_on_a_scale,1,0.0019,2.1739
Placing,Rewards_and_punishments,1,0.0019,0.4016
Reforming_a_system,Influence,1,0.0019,2.0408
Coming_to_believe,Response,1,0.0019,2.0408
Coming_to_believe,Commitment,1,0.0019,2.0408
Change_sentiment,Arranging,1,0.0019,2.6316
Response,Wearing,1,0.0019,0.6329
Violence,Control,1,0.0019,0.2299
Change_of_leadership,Reforming_a_system,1,0.0019,0.1770
Arriving,Reforming_a_system,1,0.0019,0.1328
Coming_to_believe,Wearing,1,0.0019,2.0408
Assistance,Reforming_a_system,1,0.0019,0.6536
Removing,Earnings_and_losses,1,0.0019,0.5236
Attack,Wearing,1,0.0019,0.0244
Name_conferral,Change,1,0.0019,3.5714
Change_sentiment,Cause_to_amalgamate,1,0.0019,2.6316
Influence,Dispersal,1,0.0019,0.4651
Becoming_a_member,Control,1,0.0019,1.2346
Hiding_objects,Legal_rulings,1,0.0019,4.1667
Hiding_objects,Death,1,0.0019,4.1667
Hiding_objects,Bringing,1,0.0019,4.1667
Death,Choosing,1,0.0019,0.2128
Convincing,Judgment_communication,1,0.0019,1.0638
Deciding,Coming_to_believe,1,0.0019,0.5181
Use_firearm,Protest,1,0.0019,0.1316
Legal_rulings,Change,1,0.0019,1.2987
Legal_rulings,Protest,1,0.0019,1.2987
Destroying,Openness,1,0.0019,0.2119
Request,Temporary_stay,1,0.0019,0.2188
Convincing,Change_event_time,1,0.0019,1.0638
Commitment,Assistance,1,0.0019,2.1739
Convincing,Arriving,1,0.0019,1.0638
Preventing_or_letting,Change_event_time,1,0.0019,0.3891
Kidnapping,Hold,1,0.0019,0.5405
Convincing,Extradition,1,0.0019,1.0638
Kidnapping,Extradition,1,0.0019,0.5405
Hold,Extradition,1,0.0019,0.1631
Convincing,Hold,1,0.0019,1.0638
Motion,Extradition,1,0.0019,0.0771
Arranging,Body_movement,1,0.0019,0.1311
Coming_to_believe,Prison,1,0.0019,2.0408
Cause_to_be_included,Prison,1,0.0019,2.9412
Reveal_secret,Arrest,1,0.0019,3.2258
Reveal_secret,Placing,1,0.0019,3.2258
Cause_to_be_included,Legality,1,0.0019,2.9412
Cause_to_be_included,Coming_to_believe,1,0.0019,2.9412
Cause_to_be_included,Legal_rulings,1,0.0019,2.9412
Cause_to_be_included,Removing,1,0.0019,2.9412
Kidnapping,Scrutiny,1,0.0019,0.5405
Convincing,Killing,1,0.0019,1.0638
Releasing,Committing_crime,1,0.0019,2.9412
Departing,Releasing,1,0.0019,0.4115
Kidnapping,Kidnapping,1,0.0019,0.5405
Kidnapping,Defending,1,0.0019,0.5405
Departing,Change_sentiment,1,0.0019,0.4115
Kidnapping,Change_sentiment,1,0.0019,0.5405
Kidnapping,Warning,1,0.0019,0.5405
Carry_goods,Sending,1,0.0019,6.2500
Communication,Award,1,0.0019,0.6369
GetReady,Control,1,0.0019,2.1739
Change_tool,Attack,1,0.0019,10.0000
Change_tool,Judgment_communication,1,0.0019,10.0000
Change_tool,Assistance,1,0.0019,10.0000
Hold,Carry_goods,1,0.0019,0.1631
Change_tool,Death,1,0.0019,10.0000
Process_end,Motion_directional,1,0.0019,0.3472
Change_tool,Destroying,1,0.0019,10.0000
Agree_or_refuse_to_act,Motion_directional,1,0.0019,0.3831
Change_tool,Motion_directional,1,0.0019,10.0000
Create_artwork,Deciding,1,0.0019,5.2632
Manufacturing,Vocalizations,1,0.0019,0.7407
Agree_or_refuse_to_act,Bringing,1,0.0019,0.3831
Presence,Defending,1,0.0019,0.1764
Motion,Ingestion,1,0.0019,0.0771
Judgment_communication,Justifying,1,0.0019,0.4065
Receiving,Social_event,1,0.0019,1.0638
Commerce_pay,Motion,1,0.0019,3.5714
Commerce_pay,Departing,1,0.0019,3.5714
Bodily_harm,Preserving,1,0.0019,0.3125
Change,Preserving,1,0.0019,0.4255
Influence,Come_together,1,0.0019,0.4651
Arrest,Cause_change_of_position_on_a_scale,1,0.0019,0.4695
Arrest,Change,1,0.0019,0.4695
Destroying,Prison,1,0.0019,0.2119
Coming_to_be,Prison,1,0.0019,0.0280
Destroying,Arrest,1,0.0019,0.2119
Manufacturing,Confronting_problem,1,0.0019,0.7407
Response,Giving,1,0.0019,0.6329
Scouring,Coming_to_be,1,0.0019,4.5455
Escaping,Use_firearm,1,0.0019,0.2899
Publishing,Criminal_investigation,1,0.0019,0.8772
Publishing,Giving,1,0.0019,0.8772
Giving,Criminal_investigation,1,0.0019,0.5952
Recovering,Sending,1,0.0019,0.9804
Ratification,Sending,1,0.0019,5.0000
Building,Besieging,1,0.0019,0.7752
Telling,Resolve_problem,1,0.0019,2.1277
Hindering,Bringing,1,0.0019,1.2500
Process_end,Arranging,1,0.0019,0.3472
Rescuing,Recovering,1,0.0019,2.5641
Military_operation,Submitting_documents,1,0.0019,0.1117
Violence,Reforming_a_system,1,0.0019,0.2299
Dispersal,Dispersal,1,0.0019,1.0526
Expansion,Expend_resource,1,0.0019,1.2987
Arrest,Dispersal,1,0.0019,0.4695
Dispersal,Arrest,1,0.0019,1.0526
Scrutiny,Coming_to_believe,1,0.0019,1.1364
Death,Arrest,1,0.0019,0.2128
Commerce_sell,Damaging,1,0.0019,1.4706
Process_start,Change_sentiment,1,0.0019,0.0766
Sending,Recording,1,0.0019,0.3745
Placing,Recording,1,0.0019,0.4016
Openness,Influence,1,0.0019,1.2346
Openness,Arrest,1,0.0019,1.2346
Openness,Committing_crime,1,0.0019,1.2346
Openness,Legal_rulings,1,0.0019,1.2346
Arriving,Manufacturing,1,0.0019,0.1328
Body_movement,Creating,1,0.0019,1.1236
Traveling,Surrounding,1,0.0019,0.0934
Bringing,Communication,1,0.0019,0.7519
Communication,Quarreling,1,0.0019,0.6369
Robbery,Attack,1,0.0019,5.0000
Writing,Check,1,0.0019,4.1667
Coming_to_be,Protest,1,0.0019,0.0280
Becoming_a_member,Cause_to_amalgamate,1,0.0019,1.2346
Protest,Bringing,1,0.0019,0.8403
Preserving,Supply,1,0.0019,5.0000
Reveal_secret,Removing,1,0.0019,3.2258
Destroying,Commitment,1,0.0019,0.2119
Use_firearm,Military_operation,1,0.0019,0.1316
Expressing_publicly,Use_firearm,1,0.0019,0.4065
Justifying,Attack,1,0.0019,14.2857
Testing,Deciding,1,0.0019,0.6579
Coming_to_believe,Deciding,1,0.0019,2.0408
Change_of_leadership,Reporting,1,0.0019,0.1770
Sign_agreement,Building,1,0.0019,0.6135
Temporary_stay,Catastrophe,1,0.0019,2.0833
Temporary_stay,Connect,1,0.0019,2.0833
Rewards_and_punishments,Cause_change_of_strength,1,0.0019,4.1667
Cure,Death,1,0.0019,11.1111
Giving,Legality,1,0.0019,0.5952
Defending,Catastrophe,1,0.0019,0.3096
Rescuing,Change_of_leadership,1,0.0019,2.5641
Sign_agreement,Releasing,1,0.0019,0.6135
Rescuing,Catastrophe,1,0.0019,2.5641
Defending,Rewards_and_punishments,1,0.0019,0.3096
Defending,Sign_agreement,1,0.0019,0.3096
Reveal_secret,Conquering,1,0.0019,3.2258
Reveal_secret,Hostile_encounter,1,0.0019,3.2258
Use_firearm,Choosing,1,0.0019,0.1316
Patrolling,Scrutiny,1,0.0019,2.1739
Incident,Killing,1,0.0019,5.5556
Deciding,Use_firearm,1,0.0019,0.5181
Suspicion,Testing,1,0.0019,20.0000
Incident,Judgment_communication,1,0.0019,5.5556
Incident,Testing,1,0.0019,5.5556
Military_operation,Deciding,1,0.0019,0.1117
Incident,Suspicion,1,0.0019,5.5556
Control,Check,1,0.0019,0.2809
Incident,Know,1,0.0019,5.5556
Response,Rescuing,1,0.0019,0.6329
Scouring,Check,1,0.0019,4.5455
Scouring,Reporting,1,0.0019,4.5455
Cause_to_amalgamate,Manufacturing,1,0.0019,0.7752
Convincing,GetReady,1,0.0019,1.0638
Use_firearm,Preventing_or_letting,1,0.0019,0.1316
Expressing_publicly,Prison,1,0.0019,0.4065
Action,GiveUp,1,0.0019,0.2695
Influence,Perception_active,1,0.0019,0.4651
Influence,Choosing,1,0.0019,0.4651
Influence,Commerce_sell,1,0.0019,0.4651
Influence,Testing,1,0.0019,0.4651
Testing,Creating,1,0.0019,0.6579
Commerce_buy,Process_start,1,0.0019,2.8571
Bringing,Commerce_pay,1,0.0019,0.7519
Deciding,Commerce_pay,1,0.0019,0.5181
